planet_name,host_star,Number_of_stars,Number_of_planets,discovery_method,Discover_year,Discovery_facility,orbit_period_days,planet_radius_earth,planet_mass_earth,Planet_temperature,Orbital_shape,Distance_from_host_star,Host_star_temp,Host_star_radius,Host_star_mass,Host_star_age,Distance_from_earth,planet_type,habitable_zone_flag,multi_planet_system,Recent_discovery,Distance_category,star_type,Orbit_category
GJ 357 d,GJ 357,1,3,Radial Velocity,2019.0,Multiple Observatories,55.661,2.34,6.1,219.6,0.0,0.204,3505.0,0.337,0.342,3.98,9.44181,Mini-Neptune,Yes,Yes,False,Nearby(<100pc),M-type(Red Dwarf),Medium(10-100d)
Kepler-175 b,Kepler-175,1,2,Transit,2014.0,Kepler,11.903515,2.56,7.08,827.0,0.0,0.105,6064.0,1.01,0.969,3.39,1312.34,Mini-Neptune,No,Yes,False,Far(500-2kpc),F-type,Medium(10-100d)
WASP-175 b,WASP-175,1,1,Transit,2019.0,WASP-South,3.0652907,13.540472,314.6517,1571.0,0.0,0.04403,6229.0,1.204,1.212,1.745,539.36,Gas Giant,No,No,False,Far(500-2kpc),F-type,Short(1-10d)
WASP-182 b,WASP-182,1,1,Transit,2019.0,WASP-South,3.3769848,9.52765,47.03884,1479.0,0.0,0.0451,5638.0,1.34,1.076,5.952,327.602,Gas Giant,No,No,False,Mid(100-500pc),G-type(Sun-like),Short(1-10d)
Kepler-374 c,Kepler-374,1,3,Transit,2014.0,Kepler,3.282807,1.1,1.37,1467.0,0.0,0.042,5977.0,0.911,1.033,8.51,1265.61,Super-Earth,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
K2-43 b,K2-43,1,2,Transit,2016.0,K2,3.471149,4.51,18.5,939.3,0.07,0.03784,3840.6,0.542,0.571,3.98,182.536,Neptune-like,No,Yes,False,Mid(100-500pc),K-type,Short(1-10d)
Kepler-557 b,Kepler-557,1,1,Transit,2016.0,Kepler,3.705989551,2.67,7.61,1281.0,0.0,0.0469,6068.0,1.16,1.11,3.24,2097.12,Mini-Neptune,No,No,False,Distant(2k+pc),F-type,Short(1-10d)
Kepler-1904 b,Kepler-1904,1,1,Transit,2021.0,Kepler,4.577020168,1.3904994,2.51,567.0,0.0,0.0436,3805.0,0.497,0.526,5.83,270.854,Super-Earth,No,No,True,Mid(100-500pc),K-type,Short(1-10d)
HATS-47 b,HATS-47,1,1,Transit,2020.0,HATSouth,3.9228038,12.520453,117.27927,852.9,0.088,0.04269,4512.0,0.6564,0.674,8.1,300.67,Gas Giant,No,No,True,Mid(100-500pc),K-type,Short(1-10d)
Kepler-186 e,Kepler-186,1,5,Transit,2014.0,Kepler,22.407704,1.27,2.15,319.0,0.0,0.11,3788.0,0.472,0.478,4.0,177.594,Super-Earth,Yes,Yes,False,Mid(100-500pc),K-type,Medium(10-100d)
Kepler-1902 b,Kepler-1902,1,1,Transit,2021.0,Kepler,3.822220087,1.17563613,1.74,601.0,0.0,0.0385,3729.0,0.514,0.52,3.98,344.337,Super-Earth,No,No,True,Mid(100-500pc),K-type,Short(1-10d)
Kepler-747 b,Kepler-747,1,1,Transit,2016.0,Kepler,35.61760587,5.27,24.1,456.0,0.0,0.1916,5096.0,0.78,0.82,4.79,3347.16,Neptune-like,No,No,False,Distant(2k+pc),K-type,Medium(10-100d)
DH Tau b,DH Tau,1,1,Imaging,2004.0,Subaru Telescope,11.12522242,30.2643,3496.0,2200.0,0.0,330.0,4371.0,0.27,0.33,0.001,134.846,Super-Jupiter,No,No,False,Mid(100-500pc),K-type,Unknown
HD 134606 f,HD 134606,1,5,Radial Velocity,2024.0,Multiple Observatories,26.915,2.24,5.63,818.0,0.081,0.1784,5576.0,1.158,1.046,7.3,26.7909,Mini-Neptune,No,Yes,True,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
GJ 3998 d,GJ 3998,1,3,Radial Velocity,2025.0,Multiple Observatories,41.78,2.34,6.07,818.0,0.0,0.189,3726.0,0.5,0.52,8.38,18.1459,Mini-Neptune,No,Yes,True,Nearby(<100pc),K-type,Medium(10-100d)
HIP 5763 b,HIP 5763,1,1,Radial Velocity,2021.0,Cerro Tololo Inter-American Observatory,30.014,14.2,162.09248757,818.0,0.054,0.17,4352.0,0.750378,0.72,3.98,31.9043,Gas Giant,No,No,True,Nearby(<100pc),K-type,Medium(10-100d)
Kepler-1044 b,Kepler-1044,1,1,Transit,2016.0,Kepler,6.77408868,2.67,7.61,1058.0,0.0,0.0741,5985.0,1.11,1.08,3.55,1278.96,Mini-Neptune,No,No,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
HATS-48 A b,HATS-48 A,2,1,Transit,2020.0,HATSouth,3.1316666,8.9672,77.23269,954.6,0.162,0.03769,4546.0,0.7152,0.7279,11.97,263.609,Gas Giant,No,No,True,Mid(100-500pc),K-type,Short(1-10d)
HATS-49 b,HATS-49,1,1,Transit,2020.0,HATSouth,4.1480467,8.574885,112.19399,834.8,0.071,0.04515,4405.0,0.6977,0.7133,10.5,324.413,Gas Giant,No,No,True,Mid(100-500pc),K-type,Short(1-10d)
HATS-72 b,HATS-72,1,1,Transit,2020.0,HATSouth,7.3279474,8.0973816,39.855882,739.3,0.013,0.066517,4656.1,0.7214,0.7311,12.17,127.589,Gas Giant,No,No,True,Mid(100-500pc),K-type,Short(1-10d)
Kepler-316 b,Kepler-316,1,2,Transit,2014.0,Kepler,2.240508,1.06,1.2,837.0,0.0,0.027,4204.0,0.52,0.587,3.31,384.938,Super-Earth,No,Yes,False,Mid(100-500pc),K-type,Short(1-10d)
Kepler-1085 c,Kepler-1085,1,2,Transit,2020.0,Kepler,56.7771,3.26817741,10.7,491.0,0.0,0.29798,5816.0,1.0783,1.05,1.07,1364.53,Mini-Neptune,No,Yes,True,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-1585 b,Kepler-1585,1,1,Transit,2016.0,Kepler,3.5827463,1.79,3.86,1064.0,0.0,0.0445,5538.0,0.91,0.94,4.37,944.465,Mini-Neptune,No,No,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
